2025-02-02T01:12:25.606685-0700 | INFO | Logging rafting feedback to file: logs\rafting_project_log.log
2025-02-02T01:12:25.609700-0700 | INFO | 🚀 START: Rafting Producer
2025-02-02T01:12:25.610053-0700 | INFO | Running data generator: C:\Users\balla\Projects\buzzline-03-jballard\utils\utils_generate_rafting_data.py
2025-02-02T01:12:25.661478-0700 | INFO | ✅ Data generation successful: utils_generate_rafting_data.py
2025-02-02T01:12:25.661478-0700 | INFO | Running data generator: C:\Users\balla\Projects\buzzline-03-jballard\utils\utils_generate_river_flow.py
2025-02-02T01:12:25.707836-0700 | INFO | ✅ Data generation successful: utils_generate_river_flow.py
2025-02-02T01:12:25.708835-0700 | INFO | Running data generator: C:\Users\balla\Projects\buzzline-03-jballard\utils\utils_generate_weather_data.py
2025-02-02T01:12:25.753425-0700 | INFO | ✅ Data generation successful: utils_generate_weather_data.py
2025-02-02T01:12:25.753425-0700 | INFO | Zookeeper address: localhost:2181
2025-02-02T01:12:25.785096-0700 | INFO | Zookeeper is ready at localhost:2181.
2025-02-02T01:12:25.785096-0700 | INFO | Kafka broker address: localhost:9092
2025-02-02T01:12:27.805065-0700 | ERROR | Error checking Kafka: NoBrokersAvailable
2025-02-02T01:12:27.807950-0700 | ERROR | Kafka broker is not ready. Please check your Kafka setup. Exiting...
2025-02-02T01:20:35.854786-0700 | INFO | Logging rafting feedback to file: logs\rafting_project_log.log
2025-02-02T01:20:35.856784-0700 | INFO | 🚀 START: Rafting Producer
2025-02-02T01:20:35.857786-0700 | INFO | Running data generator: C:\Users\balla\Projects\buzzline-03-jballard\utils\utils_generate_rafting_data.py
2025-02-02T01:20:35.909839-0700 | INFO | ✅ Data generation successful: utils_generate_rafting_data.py
2025-02-02T01:20:35.910813-0700 | INFO | Running data generator: C:\Users\balla\Projects\buzzline-03-jballard\utils\utils_generate_river_flow.py
2025-02-02T01:20:35.956149-0700 | INFO | ✅ Data generation successful: utils_generate_river_flow.py
2025-02-02T01:20:35.957123-0700 | INFO | Running data generator: C:\Users\balla\Projects\buzzline-03-jballard\utils\utils_generate_weather_data.py
2025-02-02T01:20:36.001150-0700 | INFO | ✅ Data generation successful: utils_generate_weather_data.py
2025-02-02T01:20:36.002123-0700 | INFO | Zookeeper address: localhost:2181
2025-02-02T01:20:36.032398-0700 | INFO | Zookeeper is ready at localhost:2181.
2025-02-02T01:20:36.033402-0700 | INFO | Kafka broker address: localhost:9092
2025-02-02T01:20:38.046702-0700 | ERROR | Error checking Kafka: NoBrokersAvailable
2025-02-02T01:20:38.048697-0700 | ERROR | Kafka broker is not ready. Please check your Kafka setup. Exiting...
